N,agent,mode,tau,K,seed,accept_rate,offers_seen_mean,wall_ms_mean,w_hat
200,satisficer,k_greedy,,1,1004,0.27541666666666664,0.3061979166666667,0.012512239583333333,0.3969660034722222
200,satisficer,k_greedy,,3,1000,0.30085069444444446,0.8219444444444446,0.00912796875,0.47992382986111104
200,satisficer,k_greedy,,3,1001,0.31335069444444447,0.8724652777777777,0.009438750000000001,0.5065839097222222
200,satisficer,k_greedy,,3,1002,0.3217013888888889,0.8602083333333335,0.009408350694444444,0.5430710798611111
200,satisficer,k_greedy,,3,1003,0.3056597222222222,0.8393576388888888,0.009413020833333334,0.5194014340277777
200,satisficer,k_greedy,,3,1004,0.32350694444444444,0.9158506944444444,0.009591614583333333,0.5515154895833333
200,satisficer,k_greedy,,5,1000,0.34475694444444444,1.2451736111111111,0.009179375,0.5586720451388889
200,satisficer,k_greedy,,5,1001,0.37774305555555554,1.3474652777777778,0.009749496527777778,0.6034049895833333
200,satisficer,k_greedy,,5,1002,0.3971701388888889,1.2665451388888889,0.009808524305555556,0.640100704861111
200,satisficer,k_greedy,,5,1003,0.3576736111111111,1.329027777777778,0.009646996527777778,0.6215512708333334
200,satisficer,k_greedy,,5,1004,0.3918576388888889,1.2810416666666669,0.009996510416666667,0.6349313402777779
500,satisficer,k_greedy,,1,1000,0.27186805555555554,0.2969166666666666,0.027613041666666668,0.40522438541666667
500,satisficer,k_greedy,,1,1001,0.27455555555555555,0.30367361111111113,0.027547555555555554,0.4045613229166667
500,satisficer,k_greedy,,1,1002,0.2761875,0.2979513888888889,0.02736861111111111,0.39449651388888884
500,satisficer,k_greedy,,1,1003,0.27391666666666664,0.3006458333333334,0.027338701388888886,0.3735540763888889
500,satisficer,k_greedy,,1,1004,0.2764027777777778,0.30571527777777785,0.027404986111111113,0.39755988541666665
500,satisficer,k_greedy,,3,1000,0.3083611111111111,0.84375,0.020218652777777776,0.5092443159722221
500,satisficer,k_greedy,,3,1001,0.31297916666666664,0.8570486111111111,0.019969680555555556,0.5241064513888889
500,satisficer,k_greedy,,3,1002,0.3258888888888889,0.8707430555555555,0.020620604166666667,0.5504925659722222
500,satisficer,k_greedy,,3,1003,0.31027777777777776,0.8594791666666668,0.02049746527777778,0.5349349895833334
500,satisficer,k_greedy,,3,1004,0.32409027777777777,0.8908055555555556,0.02062936805555556,0.5458352152777778
500,satisficer,k_greedy,,5,1000,0.36419444444444443,1.3398958333333335,0.020320534722222224,0.6109539548611111
500,satisficer,k_greedy,,5,1001,0.3781111111111111,1.3477083333333335,0.021525986111111114,0.6302458576388889
500,satisficer,k_greedy,,5,1002,0.4001458333333333,1.2513333333333332,0.02218646527777778,0.6418630555555556
500,satisficer,k_greedy,,5,1003,0.3715347222222222,1.3835208333333333,0.02130611111111111,0.6461390277777778
500,satisficer,k_greedy,,5,1004,0.3933055555555556,1.2786041666666668,0.022222125,0.6329030243055556
