agent,mode,slope_ms_per_offer,R2,points
satisficer,band,0.00011124039508772513,0.9937271942636438,16
satisficer,k_greedy,-0.002110108712795991,0.01095644968691556,12
satisficer,k_search,0.00037918846120735267,0.0003921650305159785,12
