N,agent,mode,tau,K,w_hat_mean,wall_ms_mean,offers_seen_mean,solver_calls_mean,seeds,w_hat_lo,w_hat_hi,label
50,satisficer,k_greedy,,1,0.3677671881944444,0.0034546527777777774,0.29531944444444447,0.0,5,0.3497658124305555,0.3813700305555556,cda
50,satisficer,k_greedy,,3,0.48872660833333337,0.0028255833333333336,0.8694444444444445,0.0,5,0.4537303111111111,0.5262389380902777,cda
50,satisficer,k_greedy,,5,0.5568948548611111,0.002901736111111111,1.1845277777777778,0.0,5,0.5086108095312499,0.5877447027777777,cda
100,satisficer,k_greedy,,1,0.3703195097222222,0.006464972222222222,0.2944097222222222,0.0,5,0.35584702951388886,0.3827462305555555,cda
100,satisficer,k_greedy,,3,0.4916060333333333,0.004965041666666666,0.8457013888888889,0.0,5,0.46177629428819444,0.5194648097222221,cda
100,satisficer,k_greedy,,5,0.567360629861111,0.005188131944444444,1.2108124999999998,0.0,5,0.5189631527083333,0.5995837673611112,cda
200,satisficer,k_greedy,,1,0.3845434743055555,0.012594017361111109,0.2995902777777778,0.0,5,0.37533260625000003,0.39238579791666667,cda
200,satisficer,k_greedy,,3,0.5200991486111111,0.009395940972222221,0.8619652777777779,0.0,5,0.4984684304687499,0.5417149145833333,cda
200,satisficer,k_greedy,,5,0.611732070138889,0.009676180555555556,1.2938506944444446,0.0,5,0.5839043659722222,0.6343230722222223,cda
500,satisficer,k_greedy,,1,0.39507923680555557,0.027454579166666666,0.3009805555555556,0.0,5,0.38394401319444443,0.40329696322916664,cda
500,satisficer,k_greedy,,3,0.5329227076388888,0.020387154166666668,0.8643652777777777,0.0,5,0.5203074953124999,0.5455181104166666,cda
500,satisficer,k_greedy,,5,0.6324209840277778,0.021512244444444446,1.3202125,0.0,5,0.6209941555555556,0.6421051993055554,cda
100,satisficer,k_greedy,,1,0.375,0.006883694444444444,0.298375,0.0,5,0.3589930555555555,0.3881944444444444,call
100,satisficer,k_greedy,,3,0.4979166666666667,0.0044342013888888894,0.9023749999999999,0.0,5,0.47777777777777786,0.5159722222222223,call
100,satisficer,k_greedy,,5,0.5784722222222223,0.004693951388888889,1.2437638888888887,0.0,5,0.5326215277777778,0.6076388888888888,call
200,satisficer,k_greedy,,1,0.38958333333333334,0.01391173611111111,0.302875,0.0,5,0.3798611111111111,0.3979166666666667,call
200,satisficer,k_greedy,,3,0.5263888888888888,0.008309163194444445,0.9064097222222223,0.0,5,0.5041666666666667,0.5527777777777777,call
200,satisficer,k_greedy,,5,0.6201388888888889,0.00878435763888889,1.3315243055555557,0.0,5,0.5944444444444444,0.6416666666666667,call
500,satisficer,k_greedy,,1,0.4,0.032186066666666666,0.3058944444444444,0.0,5,0.38888888888888884,0.4083333333333333,call
500,satisficer,k_greedy,,3,0.5395833333333333,0.01975960972222222,0.9172208333333334,0.0,5,0.523611111111111,0.5569444444444445,call
500,satisficer,k_greedy,,5,0.64375,0.0215608625,1.3773819444444446,0.0,5,0.6319444444444444,0.6527777777777778,call
100,satisficer,k_greedy,,1,0.375,0.006894784722222222,0.298375,0.0,5,0.3589930555555555,0.3881944444444444,call_cap
100,satisficer,k_greedy,,3,0.4979166666666667,0.0045119236111111115,0.9023749999999999,0.0,5,0.47777777777777786,0.5159722222222223,call_cap
100,satisficer,k_greedy,,5,0.5784722222222223,0.004705222222222222,1.2437638888888887,0.0,5,0.5326215277777778,0.6076388888888888,call_cap
200,satisficer,k_greedy,,1,0.38958333333333334,0.01376434375,0.302875,0.0,5,0.3798611111111111,0.3979166666666667,call_cap
200,satisficer,k_greedy,,3,0.5284722222222222,0.008376996527777777,0.8992083333333334,0.0,5,0.5013888888888889,0.5611111111111111,call_cap
200,satisficer,k_greedy,,5,0.6319444444444444,0.009122586805555557,1.4559131944444446,0.0,5,0.6027777777777777,0.6604166666666667,call_cap
500,satisficer,k_greedy,,1,0.4,0.03196181666666666,0.30421805555555553,0.0,5,0.38888888888888884,0.4083333333333333,call_cap
500,satisficer,k_greedy,,3,0.6118055555555555,0.0277509875,1.2982083333333334,0.0,5,0.5993055555555555,0.6256944444444443,call_cap
500,satisficer,k_greedy,,5,0.6951388888888889,0.03396877916666667,1.7008208333333332,0.0,5,0.6875,0.7006944444444444,call_cap
