label,agent,mode,N,w_hat_mean,wall_ms_mean,seeds
book,satisficer,k_greedy,50,0.47112955046296295,0.0030606574074074073,15
book,satisficer,k_greedy,100,0.47642872430555555,0.005539381944444445,15
ticker,satisficer,k_greedy,100,0.3703195097222222,0.001847375,15
book,satisficer,k_greedy,200,0.5054582310185185,0.01055537962962963,15
ticker,satisficer,k_greedy,200,0.3845434743055555,0.002607127314814815,15
book,satisficer,k_greedy,500,0.5201409761574074,0.023117992592592593,15
ticker,satisficer,k_greedy,500,0.39507923680555557,0.0031559592592592593,15
